Corpus 1,Corpus 2,value
1990,1990,0.0
1991,1990,0.1933382279994805
1992,1990,0.32217195349904304
1993,1990,0.4468574565964177
1994,1990,0.7098124062323133
1995,1990,0.5913198489287522
1996,1990,0.6277226896644731
1997,1990,0.6441425494497619
1998,1990,0.6658268539901068
1999,1990,0.700138396542946
2000,1990,0.7386821607251096
2001,1990,0.7744162783532131
2002,1990,0.804532726893684
2003,1990,0.8289834775195702
2004,1990,0.8601439056892596
2005,1990,0.8397267989540309
2006,1990,0.8207687975421708
2007,1990,0.7931255226890557
2008,1990,0.7839062478616486
2009,1990,0.7608723370822359
2010,1990,0.7778914174086673
2011,1990,0.7688768595010974
2012,1990,0.7894444633126474
2013,1990,0.803107944468729
2014,1990,0.8253691579952174
2015,1990,0.8493475481331506
2016,1990,0.8813010122803085
2017,1990,0.9063042790119908
2018,1990,0.949456006806546
2019,1990,1.0
1991,1991,0.0
1992,1991,0.19194508706241345
1993,1991,0.2968346955067808
1994,1991,0.6066770685708798
1995,1991,0.43893974791721524
1996,1991,0.4760506977730192
1997,1991,0.49218131647386315
1998,1991,0.5110031121344353
1999,1991,0.5448054524053813
2000,1991,0.5899871163104833
2001,1991,0.6197589197725424
2002,1991,0.6541289781181026
2003,1991,0.6727228691534259
2004,1991,0.6850778804753357
2005,1991,0.6818511127959127
2006,1991,0.6681895683852779
2007,1991,0.6439534239947801
2008,1991,0.616089456851035
2009,1991,0.620051406061352
2010,1991,0.6155479126995468
2011,1991,0.6287969717645702
2012,1991,0.6571336948324512
2013,1991,0.6695915447269171
2014,1991,0.7010631804358464
2015,1991,0.727198783583938
2016,1991,0.7662252560829004
2017,1991,0.7950951415625107
2018,1991,0.8469497406494017
2019,1991,0.9056457112094161
1992,1992,0.0
1993,1992,0.13178184839203372
1994,1992,0.526540588037214
1995,1992,0.28223850337793255
1996,1992,0.318171930236783
1997,1992,0.33747478726533103
1998,1992,0.36255406621343966
1999,1992,0.3985619967793924
2000,1992,0.43433241213977664
2001,1992,0.47032165058314646
2002,1992,0.49836020287766786
2003,1992,0.5234135673266477
2004,1992,0.5722664701312892
2005,1992,0.536148036037623
2006,1992,0.5183728431495369
2007,1992,0.4955476088279231
2008,1992,0.5128526551681545
2009,1992,0.4769758436384757
2010,1992,0.5203113689049624
2011,1992,0.4975539245571816
2012,1992,0.5230318180661887
2013,1992,0.5446255135638612
2014,1992,0.5752646656557084
2015,1992,0.6101771448843787
2016,1992,0.6523200532016612
2017,1992,0.6890099285038439
2018,1992,0.748722977169385
2019,1992,0.812058623073977
1993,1993,0.0
1994,1993,0.4853738446105517
1995,1993,0.15763084622438206
1996,1993,0.19004831453097462
1997,1993,0.20944166546127693
1998,1993,0.23449697875094194
1999,1993,0.2705309033888976
2000,1993,0.3075758822054371
2001,1993,0.3414686405561792
2002,1993,0.3704598053083859
2003,1993,0.39401170517690465
2004,1993,0.44685207373545854
2005,1993,0.4069062222228601
2006,1993,0.3907491693556001
2007,1993,0.3703052921819567
2008,1993,0.39473228790731973
2009,1993,0.3593300886027762
2010,1993,0.4082104265069862
2011,1993,0.3842073695118221
2012,1993,0.41336571963138025
2013,1993,0.43672557713801785
2014,1993,0.47239311465354267
2015,1993,0.5105159888925129
2016,1993,0.5573223319265566
2017,1993,0.598669810449792
2018,1993,0.664515704520169
2019,1993,0.7325369912275711
1994,1994,0.0
1995,1994,0.4802989083797843
1996,1994,0.47476164941065985
1997,1994,0.4771658970040071
1998,1994,0.4842409107618678
1999,1994,0.4903788123605317
2000,1994,0.5086080652953658
2001,1994,0.5365885008755434
2002,1994,0.5506845071743192
2003,1994,0.561421919350487
2004,1994,0.6022665658199403
2005,1994,0.5767496798042978
2006,1994,0.5583763235357745
2007,1994,0.5503688275246174
2008,1994,0.5801108298666997
2009,1994,0.5488279551418362
2010,1994,0.598883942883436
2011,1994,0.5714004667965669
2012,1994,0.5733789222724567
2013,1994,0.5898372491352646
2014,1994,0.597781915613625
2015,1994,0.6345875595247902
2016,1994,0.6719961771655432
2017,1994,0.7110786831191294
2018,1994,0.7669182866863058
2019,1994,0.8358684319684484
1995,1995,0.0
1996,1995,0.05509419198084207
1997,1995,0.08364618247612206
1998,1995,0.11437115401160108
1999,1995,0.14939910120718822
2000,1995,0.1822387233271687
2001,1995,0.21288460596947564
2002,1995,0.24005512658868117
2003,1995,0.26363915381329855
2004,1995,0.33395687960840276
2005,1995,0.27991199229069186
2006,1995,0.267802336705009
2007,1995,0.2565861993061112
2008,1995,0.3083948779123222
2009,1995,0.26686776181621213
2010,1995,0.3330437145520312
2011,1995,0.3001981926637774
2012,1995,0.3320093476566963
2013,1995,0.3584482188011433
2014,1995,0.3971493696046089
2015,1995,0.4387801711709745
2016,1995,0.48859816543816476
2017,1995,0.5350670708197833
2018,1995,0.6064584970127659
2019,1995,0.6776344292035584
1996,1996,0.0
1997,1996,0.03126592535689313
1998,1996,0.06480562775689827
1999,1996,0.09884147537419241
2000,1996,0.1294287101496466
2001,1996,0.1629872220441388
2002,1996,0.1900241042569475
2003,1996,0.21504796518565683
2004,1996,0.29905975306127025
2005,1996,0.23162071728916295
2006,1996,0.21648083555127298
2007,1996,0.2040652214737133
2008,1996,0.2720035806262453
2009,1996,0.2161486459649729
2010,1996,0.29796340115638364
2011,1996,0.25319647183829136
2012,1996,0.2841160022083719
2013,1996,0.3123257692433557
2014,1996,0.3514103384611794
2015,1996,0.39516950887066415
2016,1996,0.44639405771837826
2017,1996,0.4948967304951371
2018,1996,0.568130990309825
2019,1996,0.6407455071530757
1997,1997,0.0
1998,1997,0.03530015328295106
1999,1997,0.06994649484776715
2000,1997,0.10385157903442911
2001,1997,0.1379757625639723
2002,1997,0.1672921669486991
2003,1997,0.1920168271912245
2004,1997,0.27879343670128715
2005,1997,0.2076789709842616
2006,1997,0.19101614133652517
2007,1997,0.17635288451404804
2008,1997,0.24725795064280237
2009,1997,0.18718921697147992
2010,1997,0.2725346952538804
2011,1997,0.22422463209263252
2012,1997,0.25577431359227254
2013,1997,0.2837296578365653
2014,1997,0.3237319256716857
2015,1997,0.3676743016027676
2016,1997,0.4196588945851503
2017,1997,0.4686213504243145
2018,1997,0.5425051417400604
2019,1997,0.615763897521591
1998,1998,0.0
1999,1998,0.037802147487519866
2000,1998,0.0842470232518827
2001,1998,0.11201074790957702
2002,1998,0.146643644644722
2003,1998,0.16707500573158263
2004,1998,0.24831862603206398
2005,1998,0.1804911436530561
2006,1998,0.165054708635194
2007,1998,0.1495250468517514
2008,1998,0.21400292679185903
2009,1998,0.1623147879314912
2010,1998,0.24024805638195
2011,1998,0.1975905102023137
2012,1998,0.23205148170811363
2013,1998,0.2580116049259273
2014,1998,0.3008698424166663
2015,1998,0.3440459790214573
2016,1998,0.3973108608565661
2017,1998,0.4463578349502739
2018,1998,0.5211062503301755
2019,1998,0.5952554944973264
1999,1999,0.0
2000,1999,0.058410051677754364
2001,1999,0.07866117682162745
2002,1999,0.11614122314472948
2003,1999,0.1333691046153265
2004,1999,0.22110198922015406
2005,1999,0.1460624411865933
2006,1999,0.13055129383477154
2007,1999,0.11644328192527975
2008,1999,0.1909122687774916
2009,1999,0.1373997016897629
2010,1999,0.21961809374402905
2011,1999,0.17394338635056536
2012,1999,0.2085409785920007
2013,1999,0.23387450689227998
2014,1999,0.27775918764574814
2015,1999,0.3211765440691545
2016,1999,0.37522244019612766
2017,1999,0.425152789327354
2018,1999,0.5009315122006126
2019,1999,0.5758733065802941
2000,2000,0.0
2001,2000,0.05150422191907384
2002,2000,0.06930434441346744
2003,2000,0.1016741663635868
2004,2000,0.23540063500657646
2005,2000,0.11947433153473884
2006,2000,0.09385038062335939
2007,2000,0.08239660557650112
2008,2000,0.21720202361494306
2009,2000,0.11660138555381551
2010,2000,0.24492026393263633
2011,2000,0.1641426912401229
2012,2000,0.1897128198445651
2013,2000,0.22130759219728055
2014,2000,0.25970360986444835
2015,2000,0.30644421865262855
2016,2000,0.35873193874163684
2017,2000,0.4109871906441177
2018,2000,0.4873421895943792
2019,2000,0.5613974997640775
2001,2001,0.0
2002,2001,0.044825027275202434
2003,2001,0.05725727493550309
2004,2001,0.1898654061931257
2005,2001,0.07189341532951668
2006,2001,0.058245766897746236
2007,2001,0.06269732827807346
2008,2001,0.186127465582658
2009,2001,0.12028757431347467
2010,2001,0.21921967408435117
2011,2001,0.16027307402794708
2012,2001,0.19088344839324012
2013,2001,0.21653815366531382
2014,2001,0.25993115133993
2015,2001,0.3028458292723554
2016,2001,0.3559353480425145
2017,2001,0.40722571408842756
2018,2001,0.48406499710441386
2019,2001,0.5581669258809031
2002,2002,0.0
2003,2002,0.045558887031063436
2004,2002,0.2130589031436362
2005,2002,0.06667315827581634
2006,2002,0.04383493234222667
2007,2002,0.06261229451283089
2008,2002,0.21972942148204302
2009,2002,0.12746999063211334
2010,2002,0.2510618949401908
2011,2002,0.1713477494562285
2012,2002,0.19254595381966375
2013,2002,0.22161658732230388
2014,2002,0.25884583712977277
2015,2002,0.3031802196584302
2016,2002,0.3538316301307207
2017,2002,0.40623289258440837
2018,2002,0.48264675324045625
2019,2002,0.5554693501810984
2003,2003,0.0
2004,2003,0.17320835485447714
2005,2003,0.02620999440019242
2006,2003,0.035931281302520275
2007,2003,0.07301924547910431
2008,2003,0.1956507044170263
2009,2003,0.14403132705420743
2010,2003,0.23201392235153812
2011,2003,0.17887441207243956
2012,2003,0.20370701023757773
2013,2003,0.22612814761352398
2014,2003,0.26701957028020806
2015,2003,0.3076403568019683
2016,2003,0.35906252441935094
2017,2003,0.4100305223695454
2018,2003,0.48646042206020956
2019,2003,0.5597288155722178
2004,2004,0.0
2005,2004,0.15726713041361612
2006,2004,0.19018840306668897
2007,2004,0.20747457446436904
2008,2004,0.1216724164887576
2009,2004,0.2518377364105591
2010,2004,0.17081842803487954
2011,2004,0.2544753799837849
2012,2004,0.2928572021546927
2013,2004,0.29102888978969516
2014,2004,0.34194893369172824
2015,2004,0.36489200270041305
2016,2004,0.41572574758986564
2017,2004,0.45604071305888566
2018,2004,0.5275527994079349
2019,2004,0.600012420323435
2005,2005,0.0
2006,2005,0.04111275655915033
2007,2005,0.07590766023758401
2008,2005,0.18046204778743122
2009,2005,0.14433280999013665
2010,2005,0.21662339416773266
2011,2005,0.17329424652680267
2012,2005,0.19990042221082657
2013,2005,0.21865380742186113
2014,2005,0.2617141779112866
2015,2005,0.29983734792609146
2016,2005,0.35129893640395626
2017,2005,0.4012419881848909
2018,2005,0.477608267218054
2019,2005,0.5508300757774585
2006,2006,0.0
2007,2006,0.04084001262548481
2008,2006,0.1926480342758962
2009,2006,0.11196736619637791
2010,2006,0.2229674296769526
2011,2006,0.14902567389207033
2012,2006,0.17116709404586278
2013,2006,0.19598153381110509
2014,2006,0.23614338219541303
2015,2006,0.27868849816575586
2016,2006,0.3306487757275555
2017,2006,0.38267940462882405
2018,2006,0.45972431299033717
2019,2006,0.5335410217967963
2007,2007,0.0
2008,2007,0.18466606732659493
2009,2007,0.07198861757338205
2010,2007,0.20762686196386124
2011,2007,0.11356081531485272
2012,2007,0.13771958107908955
2013,2007,0.16572681917198354
2014,2007,0.20774319300253208
2015,2007,0.25228863278202246
2016,2007,0.3057666135252483
2017,2007,0.35853801633792126
2018,2007,0.4360407896862041
2019,2007,0.5104815237990702
2008,2008,0.0
2009,2008,0.1931389576063903
2010,2008,0.055830226561208285
2011,2008,0.17858197788282126
2012,2008,0.22254746381946147
2013,2008,0.2139674913932921
2014,2008,0.2695885648548211
2015,2008,0.2893760408032692
2016,2008,0.34243477768745173
2017,2008,0.3812876554006174
2018,2008,0.4525762654395601
2019,2008,0.5264968471095807
2009,2009,0.0
2010,2009,0.1978635969553374
2011,2009,0.056169584630041555
2012,2009,0.07868579523421058
2013,2009,0.11266230584970527
2014,2009,0.15491375998794302
2015,2009,0.20163404228001744
2016,2009,0.25631350153385274
2017,2009,0.3097281367231585
2018,2009,0.3869001508322875
2019,2009,0.4617408714979906
2010,2010,0.0
2011,2010,0.16863866713167044
2012,2010,0.2102624184415481
2013,2010,0.1933502748484399
2014,2010,0.24747149981255312
2015,2010,0.25967335450612816
2016,2010,0.31039429261104895
2017,2010,0.3455092213681169
2018,2010,0.4139481582734958
2019,2010,0.4865040162574491
2011,2011,0.0
2012,2011,0.05126987168387301
2013,2011,0.0677937247666984
2014,2011,0.1206112786142861
2015,2011,0.15962564867697326
2016,2011,0.2159518263885497
2017,2011,0.26703097356012245
2018,2011,0.34399660253677905
2019,2011,0.4193143109474572
2012,2012,0.0
2013,2012,0.04479746639742056
2014,2012,0.0781234741599794
2015,2012,0.1255934476379851
2016,2012,0.18059685426106614
2017,2012,0.23560476194595584
2018,2012,0.3126878861808084
2019,2012,0.3881444268839751
2013,2013,0.0
2014,2013,0.059268806812265824
2015,2013,0.0938446502731033
2016,2013,0.1519595682835022
2017,2013,0.20501289045824822
2018,2013,0.2827476145337666
2019,2013,0.35965230304494733
2014,2014,0.0
2015,2014,0.054554366791320294
2016,2014,0.10723370597769115
2017,2014,0.16511652220550463
2018,2014,0.24179648656826294
2019,2014,0.31860453175094167
2015,2015,0.0
2016,2015,0.06006699264676725
2017,2015,0.11635745420394487
2018,2015,0.1930580068676032
2019,2015,0.2705638338310943
2016,2016,0.0
2017,2016,0.061127685024414284
2018,2016,0.13646462189171762
2019,2016,0.21373626618987848
2017,2017,0.0
2018,2017,0.07998959238847964
2019,2017,0.15930799610701235
2018,2018,0.0
2019,2018,0.08103188241526792
2019,2019,0.0
